"SIU";"LINHA";"SUBLINHA";"PC";" Endereço do Ponto";" Nº Imóvel";"Seq";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";" Total geral ";"Latitude.WGS84";"Longitude.WGS84";"X";"Y";"NA";"NA"
"90923";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"1983";3;0;0;0;0;0;0;7;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;10;"-19.9374157100513";"-43.9024937736231";"614855.62";"7795069.11";10;"102-90923"
"90924";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"2240";29;0;0;0;0;0;15;2;0;0;0;0;0;0;0;0;2;3;0;0;2;0;0;0;0;24;"-19.9347232725983";"-43.9025055712828";"614856.33";"7795367.1";24;"102-90924"
"90925";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"2325";2;0;0;0;0;0;10;11;3;16;6;0;4;2;0;0;0;13;0;0;2;0;0;0;0;67;"-19.9346415057591";"-43.9025794188509";"614848.66";"7795376.2";67;"102-90925"
"90944";"102";"1";"1";"FLOR DE MAIO, RUA";"270";26;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;0;0;2;0;0;0;0;11;"-19.9401276595622";"-43.9059463809115";"614492.31";"7794771.32";11;"102-90944"
"90945";"102";"1";"1";"FLOR DE MAIO, RUA";"392";27;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;10;"-19.9400660694096";"-43.9047931573734";"614613.05";"7794777.35";10;"102-90945"
"90953";"102";"1";"1";"SAO MIGUEL ARCANJO, RUA";"1";30;0;0;0;0;0;0;5;10;0;0;0;6;2;0;0;0;0;0;0;0;2;0;0;0;25;"-19.93197515510209";"-43.90330926142329";"614774.2";"7795671.8";25;"102-90953"
"90953";"102";"1";"1";"SAO MIGUEL ARCANJO, RUA";"1";1;0;0;0;0;0;0;5;10;0;0;0;6;2;0;0;0;0;0;0;0;2;0;0;0;25;"-19.93197515510209";"-43.90330926142329";"614774.2";"7795671.8";25;"102-90953"
"20002";"103";"1";"1";"ASSIMA HATEM BORJAILI, RUA";"452";39;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;"-19.9320564436856";"-43.910198026674";"614053.13";"7795667.49";4;"103-20002"
"20202";"103";"1";"1";"CABRALIA, RUA";"171";22;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"-19.934192756932";"-43.9182497444476";"613208.88";"7795436.5";2;"103-20202"
"20271";"103";"1";"1";"CASTELO NOVO, RUA";"37";42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;"-19.9288177360437";"-43.9090167932303";"614179.09";"7796025.13";2;"103-20271"
"20538";"103";"1";"1";"DOUTOR ARGEMIRO RESENDE COSTA, RUA";"65";40;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;5;"-19.9307579930327";"-43.9095421446706";"614122.71";"7795810.75";5;"103-20538"
"20541";"103";"1";"1";"DOUTOR CAMILO ANTONIO NOGUEIRA, RUA";"349";20;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;"-19.9351771761864";"-43.9153593861855";"613510.69";"7795325.6";2;"103-20541"
"20542";"103";"1";"1";"DOUTOR CAMILO ANTONIO NOGUEIRA, RUA";"455";19;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"-19.9359348984475";"-43.9148272785516";"613565.84";"7795241.38";5;"103-20542"
"20648";"103";"1";"1";"EUCLASIO, RUA";"673";4;0;0;0;0;3;2;6;6;8;10;2;0;6;14;0;7;0;5;15;0;0;0;0;0;84;"-19.9256596888998";"-43.9104383116338";"614032.57";"7796375.61";84;"103-20648"
"21101";"103";"1";"1";"MEM DE SA, AVE";"1225";2;0;0;0;0;0;0;0;0;8;0;2;0;4;7;6;2;0;4;0;0;5;0;0;0;38;"-19.9262839751776";"-43.9085421518658";"614230.59";"7796305.23";38;"103-21101"
"21265";"103";"1";"1";"POUSO ALTO, RUA";"433";23;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;"-19.9333795489582";"-43.9207294983791";"612949.92";"7795528.17";4;"103-21265"
"21754";"103";"1";"1";"ISAURO MASCARENHAS GUEDES, RUA";"210";37;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;8;"-19.9339412836089";"-43.9102033501117";"614051.22";"7795458.89";8;"103-21754"
"21755";"103";"1";"1";"ISAURO MASCARENHAS GUEDES, RUA";"322";38;0;0;0;0;5;18;11;23;5;2;0;0;8;4;6;10;0;2;10;0;4;0;0;0;108;"-19.9329315037272";"-43.9101048899493";"614062.25";"7795570.58";108;"103-21755"
"22208";"103";"1";"1";"SERENATA, RUA";"49";15;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;"-19.9361073053339";"-43.9110039784815";"613965.87";"7795219.71";6;"103-22208"
"22229";"103";"1";"1";"BELA VISTA, RUA";"54";16;0;0;0;0;0;0;2;0;0;2;7;0;4;0;2;2;0;2;2;0;0;0;0;0;23;"-19.9364926468025";"-43.911944090763";"613867.2";"7795177.7";23;"103-22229"
"22254";"103";"1";"1";"REGENCIA, RUA";"51";13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;"-19.9345339839137";"-43.9095800589864";"614116.03";"7795392.87";3;"103-22254"
"22255";"103";"1";"1";"REGENCIA, RUA";"62";36;0;0;0;0;0;0;0;0;0;0;2;0;10;0;0;0;0;0;0;0;4;0;0;0;16;"-19.9344827635437";"-43.9095818436363";"614115.88";"7795398.54";16;"103-22255"
"22459";"103";"1";"1";"MARIA CARMEM VALADARES, RUA";"521";1;0;0;0;0;0;5;9;0;3;4;0;0;0;0;2;0;0;0;5;0;0;0;0;0;28;"-19.9275774050958";"-43.9093216730705";"614148.07";"7796162.61";28;"103-22459"
"22459";"103";"1";"1";"MARIA CARMEM VALADARES, RUA";"521";43;0;0;0;0;0;5;9;0;3;4;0;0;0;0;2;0;0;0;5;0;0;0;0;0;28;"-19.9275774050958";"-43.9093216730705";"614148.07";"7796162.61";28;"103-22459"
"22807";"103";"1";"1";"ANAPOLIS, RUA";"270";3;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;"-19.9260328264408";"-43.9092844046557";"614153.08";"7796333.53";4;"103-22807"
"90254";"103";"1";"1";"CABRALIA, RUA";"156";28;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;"-19.9342199629933";"-43.9181325167525";"613221.13";"7795433.41";5;"103-90254"
"90382";"103";"1";"1";"DOUTOR CAMILO ANTONIO NOGUEIRA, RUA";"110";29;0;0;0;0;0;0;0;0;0;2;2;0;0;2;6;2;0;2;0;0;0;0;0;0;16;"-19.9340639805358";"-43.9172228457945";"613316.45";"7795450.06";16;"103-90382"
"90383";"103";"1";"1";"DOUTOR CAMILO ANTONIO NOGUEIRA, RUA";"225";21;0;0;0;0;0;0;0;0;3;0;0;0;0;5;0;0;0;2;0;0;4;0;0;0;14;"-19.9343284138908";"-43.9159868902695";"613445.62";"7795419.96";14;"103-90383"
"90386";"103";"1";"1";"DOUTOR CAMILO ANTONIO NOGUEIRA, RUA";"498";32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;"-19.9364463258981";"-43.9146673766273";"613582.21";"7795184.67";4;"103-90386"
"90588";"103";"1";"1";"DO OURO, RUA";"432";25;0;0;0;0;0;2;4;0;0;2;2;0;2;16;11;2;0;5;26;0;14;0;0;0;86;"-19.9356309713014";"-43.9223882652442";"612774.71";"7795280.11";86;"103-90588"
"90649";"103";"1";"1";"POUSO ALTO, RUA";"757";27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;"-19.9350463116186";"-43.9178142662339";"613253.85";"7795341.74";3;"103-90649"
"90748";"103";"1";"1";"SENADOR POMPEO, RUA";"212";26;0;0;0;0;0;0;0;0;3;0;0;0;0;2;2;0;0;0;3;0;0;0;0;0;10;"-19.9362707402093";"-43.9200309100884";"613020.98";"7795207.72";10;"103-90748"
"90934";"103";"1";"1";"SERENATA, RUA";"42";35;0;0;0;0;0;0;0;0;0;0;5;0;0;2;2;0;0;2;0;0;3;0;0;0;14;"-19.9359867041528";"-43.9107718644382";"613990.25";"7795232.9";14;"103-90934"
"91074";"103";"1";"1";"AGUAPEI, RUA";"33";24;0;0;0;0;0;2;6;6;8;6;17;0;0;23;8;21;0;21;20;0;0;0;0;0;138;"-19.9344186954734";"-43.9230476264246";"612706.56";"7795414.72";138;"103-91074"
"90005";"1030";"5";"1";"AFONSO PENA, AVE";"367";21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;"-19.916560638236";"-43.94000966794604";"610943.73";"7797402.43";2;"1030-90005"
"90006";"1030";"5";"1";"AFONSO PENA, AVE";"388";2;0;0;0;0;0;39;67;77;30;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;220;"-19.9170975475709";"-43.9400840936075";"610935.57";"7797343.06";220;"1030-90006"
"90009";"1030";"5";"1";"AFONSO PENA, AVE";"749";20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;1;1;0;0;0;0;8;"-19.91976719971659";"-43.93804403284586";"611147.24";"7797046.25";8;"1030-90009"
"90010";"1030";"5";"1";"AFONSO PENA, AVE";"776";3;0;0;0;0;0;12;25;14;10;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;65;"-19.92014376109998";"-43.93820354857247";"611130.28";"7797004.68";65;"1030-90010"
"90027";"1030";"5";"1";"AFONSO PENA, AVE";"2372";4;0;0;0;0;0;3;5;5;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;18;"-19.932558573124";"-43.930486970743";"611929.25";"7795625.56";18;"1030-90027"
"90028";"1030";"5";"1";"AFONSO PENA, AVE";"2755";19;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;4;0;0;0;0;7;"-19.9352103900918";"-43.9284277880731";"612142.9";"7795330.7";7;"1030-90028"
"90029";"1030";"5";"1";"AFONSO PENA, AVE";"2770";5;0;0;0;0;0;1;1;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;8;"-19.93556475098641";"-43.9285850256664";"612126.19";"7795291.59";8;"1030-90029"
"90030";"1030";"5";"1";"AFONSO PENA, AVE";"2981";18;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;11;8;4;0;0;0;0;0;24;"-19.93699398812784";"-43.9273116882254";"612258.45";"7795132.56";24;"1030-90030"
"90031";"1030";"5";"1";"AFONSO PENA, AVE";"3000";6;0;0;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;"-19.9371489692609";"-43.927634478217";"612224.56";"7795115.62";6;"1030-90031"
"90032";"1030";"5";"1";"AFONSO PENA, AVE";"3239";17;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;9;7;1;0;0;0;0;20;"-19.9393672850039";"-43.9258695397128";"612407.71";"7794868.93";20;"1030-90032"
