"SIU";"LINHA";"SUBLINHA";"PC";" Endereço do Ponto";" Nº Imóvel";"Seq";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";" Total geral ";"Latitude.WGS84";"Longitude.WGS84";"X";"Y"
"90920";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"1525";5;0;0;0;0;0;0;6;3;9;0;8;5;0;0;4;0;0;2;0;2;0;0;0;0;39;"-19.9367216478699";"-43.9046865563973";"614626.62";"7795147.42"
"90921";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"1788";28;0;0;0;0;0;0;0;0;0;3;0;0;5;0;0;4;0;8;4;0;0;0;0;0;24;"-19.9375426718418";"-43.9031583622224";"614785.97";"7795055.51"
"90922";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"1789";4;0;0;0;0;0;0;9;8;0;3;5;0;0;0;0;0;4;2;0;0;0;0;0;0;31;"-19.937526141455";"-43.9029249606708";"614810.41";"7795057.18"
"90923";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"1983";3;0;0;0;0;0;3;7;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;13;"-19.9374157100513";"-43.9024937736231";"614855.62";"7795069.11"
"90924";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"2240";29;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"-19.9347232725983";"-43.9025055712828";"614856.33";"7795367.1"
"90925";"102";"1";"1";"NOSSA SENHORA DE FATIMA, RUA";"2325";2;0;0;0;0;0;0;10;13;3;5;5;10;3;0;8;7;0;2;0;0;0;0;0;0;66;"-19.9346415057591";"-43.9025794188509";"614848.66";"7795376.2"
"90944";"102";"1";"1";"FLOR DE MAIO, RUA";"270";26;0;0;0;0;0;0;0;0;3;0;3;2;0;0;0;0;0;0;0;2;0;0;0;0;10;"-19.9401276595622";"-43.9059463809115";"614492.31";"7794771.32"
"90945";"102";"1";"1";"FLOR DE MAIO, RUA";"392";27;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;8;"-19.9400660694096";"-43.9047931573734";"614613.05";"7794777.35"
"90953";"102";"1";"1";"SAO MIGUEL ARCANJO, RUA";"1";30;0;0;0;0;0;2;19;0;3;0;8;0;0;0;0;0;0;0;4;0;0;0;0;0;36;"-19.93197515510209";"-43.90330926142329";"614774.2";"7795671.8"
"90953";"102";"1";"1";"SAO MIGUEL ARCANJO, RUA";"1";1;0;0;0;0;0;2;19;0;3;0;8;0;0;0;0;0;0;0;4;0;0;0;0;0;36;"-19.93197515510209";"-43.90330926142329";"614774.2";"7795671.8"
